# Dialect prior by Windows region (GetUserGeoID → ISO-3166 alpha-2). XX = any other country. Rows sum to 1.
iso2	MSA	LEV	EGY	GLF	IRQ	MAG
JO	0.20	0.55	0.10	0.10	0.03	0.02
PS	0.20	0.55	0.10	0.10	0.03	0.02
LB	0.20	0.55	0.10	0.10	0.03	0.02
SY	0.20	0.55	0.10	0.10	0.03	0.02
EG	0.20	0.10	0.60	0.07	0.01	0.02
SD	0.20	0.10	0.60	0.07	0.01	0.02
SA	0.20	0.10	0.10	0.55	0.03	0.02
AE	0.20	0.10	0.10	0.55	0.03	0.02
KW	0.20	0.10	0.10	0.55	0.03	0.02
QA	0.20	0.10	0.10	0.55	0.03	0.02
BH	0.20	0.10	0.10	0.55	0.03	0.02
OM	0.20	0.10	0.10	0.55	0.03	0.02
YE	0.20	0.10	0.10	0.55	0.03	0.02
IQ	0.20	0.10	0.03	0.15	0.50	0.02
MA	0.20	0.08	0.08	0.02	0.02	0.60
DZ	0.20	0.08	0.08	0.02	0.02	0.60
TN	0.20	0.08	0.08	0.02	0.02	0.60
LY	0.20	0.08	0.08	0.02	0.02	0.60
MR	0.20	0.08	0.08	0.02	0.02	0.60
FR	0.20	0.12	0.15	0.05	0.03	0.45
BE	0.20	0.12	0.15	0.05	0.03	0.45
XX	0.25	0.20	0.25	0.15	0.05	0.10
